OBJECT_ID,SEMIMAJOR_AXIS,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,PERIOD,VELOCITY_PERIGEE,VELOCITY_APOGEE,RCS_SIZE,OBJECT_TYPE
2006-056A,42312.944,0.0002713,0.3759,99.5601,146.3403,9.8988,0.99745406,86620.53067386382,3.070082849859627,3.068417474721568,LARGE,PAYLOAD
2006-056B,14380.851,0.5367866,49.4844,138.2847,83.9101,331.968,5.03414685,17162.788963933384,9.58943054417643,2.890416097089742,LARGE,DEBRIS
2006-056C,27913.023,0.4975635,16.1382,259.5012,292.0898,284.0945,1.86162605,46411.03942437848,6.524052980689667,2.1888369644641337,LARGE,ROCKET BODY
2006-059A,42522.392,0.0003661,8.3918,50.8683,167.2478,201.1616,0.99009355,87264.4812199817,3.06280282623528,3.0605610627155357,LARGE,PAYLOAD
2006-059B,13850.68,0.5223433,28.6282,325.955,179.8046,180.5755,5.32593809,16222.49424232417,9.577048757549548,3.004934238729344,LARGE,ROCKET BODY
2006-061B,25889.032,0.7490109,61.16,229.3024,244.4831,24.2116,2.08415039,41455.74158878237,10.358093323127552,1.4864221377281255,LARGE,ROCKET BODY
2006-062A,25507.025,0.0024422,64.8116,250.8489,341.7367,251.701,2.13114531,40541.5809023365,3.962776988854242,3.943468356471887,LARGE,PAYLOAD
2006-062B,25519.105,0.0020345,64.8204,250.9889,178.0908,92.9155,2.12963219,40570.38600642114,3.960223902859808,3.9441424694752922,LARGE,PAYLOAD
2006-062C,25506.434,0.0018571,64.8159,250.8593,171.8206,188.2026,2.13121937,40540.172079986296,3.9605048990429133,3.94582205924867,LARGE,PAYLOAD
2006-062D,25483.887,0.0022818,64.8185,250.3375,194.597,58.2493,2.13404833,40486.43078294295,3.9639395431766347,3.945890892089444,LARGE,ROCKET BODY
